Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.9933333396911621,0.9967004060745239,0.9933333396911621,0.9949918985366821,0.9900506734848022
2,0.996666669845581,1.0,0.996666669845581,0.998324990272522,0.9950262308120728
3,0.9566666483879089,0.9593000411987305,0.9566666483879089,0.9562568664550781,0.9367032647132874
4,0.9933333396911621,0.993399977684021,0.9933333396911621,0.9933170080184937,0.9900494813919067
5,0.9866666793823242,0.9901000261306763,0.9866666793823242,0.9882922172546387,0.9801331758499146
6,0.9866666793823242,0.9901679754257202,0.9866666793823242,0.9882450103759766,0.9802134037017822
7,0.9733333587646484,0.9741400480270386,0.9733332991600037,0.973281979560852,0.9605758786201477
8,0.9933333396911621,0.9967003464698792,0.9933333396911621,0.9949918985366821,0.9900506734848022
9,0.996666669845581,1.0,0.996666669845581,0.9983251094818115,0.995026171207428
10,0.9866666793823242,0.9901666641235352,0.9866666793823242,0.9882433414459229,0.9802151918411255
