Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.8033333420753479,0.8594356775283813,0.8033332824707031,0.821223258972168,0.7901803851127625
2,0.8833333253860474,0.9325231313705444,0.8833333253860474,0.9020116925239563,0.8754420280456543
3,0.8133333325386047,0.8466969728469849,0.81333327293396,0.8171855211257935,0.801889181137085
4,0.8366666436195374,0.8393846750259399,0.8366666436195374,0.8317530155181885,0.8261277675628662
5,0.8733333349227905,0.919291615486145,0.8733333349227905,0.8896443843841553,0.8647695779800415
6,0.8533333539962769,0.8858134746551514,0.8533333539962769,0.8618847131729126,0.8434110879898071
7,0.8533333539962769,0.8824185132980347,0.8533333539962769,0.860419750213623,0.8433906435966492
8,0.8533333539962769,0.8975635766983032,0.8533333539962769,0.8671637773513794,0.8434326648712158
9,0.8299999833106995,0.870102047920227,0.8299999237060547,0.8386043310165405,0.8188092708587646
10,0.8700000047683716,0.9073652029037476,0.8700000047683716,0.8814716935157776,0.8612672686576843
