Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.6299999952316284,0.7403215765953064,0.6299999356269836,0.6673611998558044,0.6139402985572815
2,0.596666693687439,0.6926888823509216,0.5966666340827942,0.6290340423583984,0.5792881846427917
3,0.6266666650772095,0.7238351106643677,0.6266666650772095,0.6524798274040222,0.6114550232887268
4,0.5799999833106995,0.6877550482749939,0.5799999833106995,0.6122652292251587,0.563083291053772
5,0.6466666460037231,0.7385555505752563,0.6466667056083679,0.6806349158287048,0.6314060091972351
6,0.6033333539962769,0.6785682439804077,0.6033333539962769,0.6269563436508179,0.5868532657623291
7,0.6266666650772095,0.7128999829292297,0.6266666650772095,0.6521794199943542,0.6117811799049377
8,0.6166666746139526,0.7241660952568054,0.6166667342185974,0.6476791501045227,0.6003245711326599
9,0.6100000143051147,0.7455912232398987,0.60999995470047,0.6551961898803711,0.593781054019928
10,0.6299999952316284,0.6884647607803345,0.6299999356269836,0.6463317275047302,0.6150771975517273
