Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.9133333563804626,0.9213452935218811,0.9133333563804626,0.9152680039405823,0.8958783745765686
2,0.9233333468437195,0.9430661201477051,0.9233332872390747,0.9275615215301514,0.9085342288017273
3,0.903333306312561,0.9132014513015747,0.9033333659172058,0.9044426679611206,0.8840336203575134
4,0.8566666841506958,0.8839472532272339,0.8566666841506958,0.8577345609664917,0.8301236033439636
5,0.9166666865348816,0.9309733510017395,0.9166666865348816,0.9184617400169373,0.9003329277038574
6,0.903333306312561,0.924490749835968,0.903333306312561,0.9069454073905945,0.8841413855552673
7,0.9133333563804626,0.9216882586479187,0.9133333563804626,0.913348376750946,0.8957792520523071
8,0.9300000071525574,0.9375492334365845,0.9300000071525574,0.932281494140625,0.9157544374465942
9,0.9100000262260437,0.9305354356765747,0.9099999666213989,0.9133305549621582,0.8924946784973145
10,0.9133333563804626,0.9294953346252441,0.9133332967758179,0.9164322018623352,0.8962392210960388
