Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.996666669845581,1.0,0.996666669845581,0.9983251094818115,0.995026171207428
2,0.996666669845581,1.0,0.996666669845581,0.998324990272522,0.9950262308120728
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,0.996666669845581,1.0,0.996666669845581,0.9983251094818115,0.995026171207428
6,0.996666669845581,1.0,0.996666669845581,0.998324990272522,0.9950262308120728
7,0.9933333396911621,0.9967003464698792,0.9933333396911621,0.9949918985366821,0.9900506734848022
8,0.996666669845581,1.0,0.996666669845581,0.998324990272522,0.9950262308120728
9,0.9933333396911621,0.9967000484466553,0.9933333396911621,0.994991660118103,0.9900509119033813
10,0.9933333396911621,0.9967000484466553,0.9933333396911621,0.994991660118103,0.9900509119033813
