Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.9366666674613953,0.9669722318649292,0.9366666078567505,0.9471023082733154,0.9325966238975525
2,0.9399999976158142,0.9664208292961121,0.9399999976158142,0.947698175907135,0.9361388683319092
3,0.9366666674613953,0.9541018605232239,0.9366666674613953,0.942192792892456,0.9325289726257324
4,0.9433333277702332,0.9673612117767334,0.9433333873748779,0.9511185884475708,0.9397050738334656
5,0.9633333086967468,0.9694538116455078,0.9633333683013916,0.9613158106803894,0.9609473347663879
6,0.9733333587646484,0.984833300113678,0.9733333587646484,0.9773565530776978,0.9715203046798706
7,0.95333331823349,0.9729531407356262,0.9533333778381348,0.9609793424606323,0.9502307176589966
8,0.9433333277702332,0.9662142992019653,0.9433332681655884,0.950170636177063,0.9396539330482483
9,0.9466666579246521,0.9748889803886414,0.9466666579246521,0.9535871744155884,0.943198561668396
10,0.9633333086967468,0.982972264289856,0.9633333683013916,0.9707463383674622,0.9608970880508423
