Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.8100000023841858,0.8708621859550476,0.8100000619888306,0.8292866945266724,0.8024883270263672
2,0.7900000214576721,0.8525667786598206,0.7900000810623169,0.8058952689170837,0.7816885113716125
3,0.7333333492279053,0.8115667104721069,0.7333333492279053,0.7549129724502563,0.7227838039398193
4,0.7633333206176758,0.8838777542114258,0.7633333802223206,0.8002896308898926,0.7540497183799744
5,0.7933333516120911,0.8550502061843872,0.7933332920074463,0.8119049668312073,0.7851400375366211
6,0.7699999809265137,0.8146164417266846,0.7700000405311584,0.7811773419380188,0.7608928084373474
7,0.7666666507720947,0.8240000009536743,0.7666666507720947,0.7813205718994141,0.7575501203536987
8,0.7900000214576721,0.8657036423683167,0.7900000214576721,0.8165570497512817,0.7812996506690979
9,0.7866666913032532,0.87328040599823,0.786666750907898,0.8149882555007935,0.7783005833625793
10,0.7599999904632568,0.8330300450325012,0.7600000500679016,0.778995931148529,0.7504175901412964
