Fold,Accuracy,Precision,Recall,F1-Score,MCC
1,0.9566666483879089,0.9707164764404297,0.9566666483879089,0.961579442024231,0.948136568069458
2,0.9766666889190674,0.9793933033943176,0.9766666293144226,0.9770640134811401,0.9720112681388855
3,0.9633333086967468,0.965303897857666,0.9633333086967468,0.9623081088066101,0.9561329483985901
4,0.9599999785423279,0.966408908367157,0.9599999785423279,0.960646390914917,0.9519051313400269
5,0.95333331823349,0.9632827639579773,0.95333331823349,0.9546688199043274,0.944253146648407
6,0.9466666579246521,0.9575173258781433,0.9466666579246521,0.9507174491882324,0.9358852505683899
7,0.9433333277702332,0.9534029960632324,0.9433333277702332,0.9449411034584045,0.9321537017822266
8,0.9666666388511658,0.9746437072753906,0.9666666388511658,0.9681392908096313,0.9600493311882019
9,0.9700000286102295,0.9722091555595398,0.9699999690055847,0.9702020883560181,0.9639924764633179
10,0.9700000286102295,0.9730428457260132,0.9699999094009399,0.9694998860359192,0.9639565348625183
